,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
Neryth,E F,D E F,D E F,D E F,D E F,E F,E F,,LETTERS:,,
enduring ray,D E F,D E F,D F,,D E F,B C D E F,C D E F,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
BitMuffin,B C D,B C D,B C D,B C D,B C D,C D,B C D,,A,=,6 AM PST
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,B,=,9 AM PST
StarEnforcer,A B C D E F,A B C D E F,A B C D E F,A B C D E F,A B C D E F,,,,C,=,12 PM PST
SoulXCross,,C D,C D,C D,F A,F A,,,D,=,3 PM PST
Symes,,E F,E F,B C D E F,B C D E F,B C D E F,B C D E F,,E,=,6 PM PST
Shadow,,C D E,C D E,C D E,C D E,,,,F,=,9 PM PST
playerzero,C D,C D,C D,C D,C D,A B C D,A B C D,,,,
luckytyphlosion,D E,D E,D E,D E,D E,D E,D E,,,=,Notes contain detailed hours or conditions.
Salad,,D E F,D E F,D EF,D E F,D E F,D E F,,COLOR CODES:,,
,,,,,,,,,,=,Mostly Available
,,,,,,,,,,=,Somewhat Available
,,,,,,,,,,=,Unavailable
,,,,,,,,,,,
,,,,,,,,,TIME ZONE CONVERTER,,
,,,,,,,,,link,,
