,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
Ryu D,A B,A B,A B,A B,A B,B ,A B,,LETTERS:,,
Uvu,B C D,C D,B C,B C,,B C D,B C D,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Barney,C D,C D,C D,C D,C D,C D,C D,,A,=,6 AM PST
Symes,E F,E F,E F,E F,E F,B C D E F,B D E F,,B,=,9 AM PST
desmond (...),,,,,A,E,E,,C,=,12 PM PST
enduring ray,D E F,D E,D F,,D E F,B C D E F,C D E F,,D,=,3 PM PST
pppablo,,F,F,F,F,F,C D E F,,E,=,6 PM PST
playerzero,A B C D E,A B C D E,A B C D E,A B C D E,A B C D E,A B C D E,A B C D E,,F,=,9 PM PST
oOSpiderManOo,A B C,A B C,A B C,A B C,A B C; F - A,F - A,,,,,
Salad,,,D E F,D E F,D E F,,,,,=,Notes contain detailed hours or conditions.
Neryth,D E F,D E F,D E F,D E F,,,,,COLOR CODES:,,
,,,,,,,,,,=,Mostly Available
,,,,,,,,,,=,Somewhat Available
,,,,,,,,,,=,Unavailable
,,,,,,,,,,,
,,,,,,,,,TIME ZONE CONVERTER,,
,,,,,,,,,link,,
