,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
BlueStar,,,D E F,D E F,D E F,,,,LETTERS:,,
Nonstopmop,F,F,F,F,D E F,D E F,D E F,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
HonorNite,,A B C D,A B C D,A B C D,A B C D,A B C D,,,A,=,6 AM PST
Dorman_777,D E,D E,D E,D E,D E,B C D E,B C D E,,B,=,9 AM PST
ThunderGeese,A B F,A B F,A B C F,A B F,A B C D E F,A B F,A B C D E F,,C,=,12 PM PST
des,,,,,,,,,D,=,3 PM PST
Sorio,A C D,A C D,A C,D,A C D,A C D,A C D,,E,=,6 PM PST
Ladner,C,E,C,E,C,C,C,,F,=,9 PM PST
MegaMan36,D,D,D,F,,C,D,,,,
Virillion,,A B C ,B C,A B C,A B C,A B C,A B C,,,=,Notes contain detailed hours or conditions.
Pie Burritos,C D E F,B C D F,C D E F,B C D F,B C D E F,B C,B C D E F,,COLOR CODES:,,
Shuusai,F,F,E F,E F,E F,D E F,D E F,,,=,Mostly Available
SoulXCross,C - E,C - E,C - E,C - E,F - A, ,B - C,,,=,Somewhat Available
Joey☆Kobalt,B C D,B C D,B C D,B C D,B C D,A B C D,A B C D,,,=,Unavailable
Snugs,D E F,D E F,D E F,D E F,D E F,A B C D E F,A B C D E,,,,
Uvu,B C D,C D,B C,B C,,B C D,B C D,,TIME ZONE CONVERTER,,
Fátima,,,,,,,,,link,,
Neryth,E F,E F,E F,E F,E F,E F,D E F,,,,
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,,,
DemonKingBean,F,F,F,F,F,F,F,,,,
Rocku,D,D,D,D E,,D E,D,,,,
Salad,,D E F,D E F,D E F,,D E F,D E F,,,,
Symes,E F,E F,E F,E F,E F,B C D E F,B C D E F,,,,
Loner,D E,D E,D E,,D E,D E,,,,,
Maple,,,,,,,,,,,
Shadow,,,,,,,,,,,
WeenieWhistle,E,E,E,E,E,E,E,,,,
E Flamez,E,D E,,D E,D E,D E F,D E F,,,,
Zeii - Airspin Adept,A D E,A D E,A D E,A D E,A D E F,A D E F,A D E F,,,,
Wazi,B C D E,B C D E,D C,C D E,A F,A B F,E F,,,,
Romaniacal,D E F,D E F,D E F,B,D E F,B,D E F,,,,
Serale,D E F,D E F,D E F,D E F,D E F,D E F,A B C D E F,,,,
Godon,E,E,E,E,E F,E F,B C D E F,,,,
IMASUKA,D E F,D E F,D E F,D E F,D E F,A B C D E F,A B C D E F,,,,
aqua,,,,,,,,,,,
pablo,E,E,E,E F,D E F,D E F,D E F,,,,
Miridia,,D E F,D E F,D E F,D E F,D E F,,,,,
Enduring Ray,D E F,D E F,D E F,D E F,D E F,B C D E F,C D E F,,,,
Alrysc,C D E,C D E,C D E,C D F,C D E F,C D F,C D E F,,,,
