,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
Master S1X,D E F,D E F,D E F,D E F,D E F,B C ,B C,,LETTERS:,,
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
ShironaNep,A B C F,A B C F,A B C F,A B C F,A B C F,A B C D E,A B C D E,,A,=,6 AM PST
HonorNite,B C D,B C D F,,,B C D,B C D F,B C D F,,B,=,9 AM PST
BlueStar,E,E,E,E,E,B C D E,,,C,=,12 PM PST
Josue,D E,D E,D E,D E,D E,D E,D E,,D,=,3 PM PST
Rocku,D,D,D,D E,,D E,D,,E,=,6 PM PST
Salad,C D E,C D E,C D E,C D E,C D E,C D E,C D E,,F,=,9 PM PST
Neryth,F,D E F,D E F,D E F,D E F,E F,,,,,
Symes,E F,B C D E F,E F,B C D E F,E F,B C D E F,B C D E F,,,=,Notes contain detailed hours or conditions.
Diamond Kite,A B C D E F,A B C D E F,,,,,,,COLOR CODES:,,
playerzero,D,C D,C D,C D,D,A B C D,A B C D,,,=,Mostly Available
WeenieWhistle,,,,,,,,,,=,Somewhat Available
SoulXCross,,E F,D E,E F,D E F,E F,A B,,,=,Unavailable
Isabelle Drillarm Witch ,A B F,A B F,A B C D E F,A B F,A B C D E F,A B C D E F,A B F,,,,
Dorman,D E,D E,D E,D E,D E,B C D E F,B C D E,,TIME ZONE CONVERTER,,
,,,,,,,,,link,,
