,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
Chocola,C D E,C D E,C D E,C D E,C D,C D E F,C D E F,,LETTERS:,,
Nonstopmop,F,F,F,F,D E F,D E F,D E F,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Ablen,DEF,DEF,DEF,DEF,DEF,CDEF,CDEF,,A,=,6 AM PST
Pie Burritos,BCDE,EF,BCDEF,BCDEF,BC,,,,B,=,9 AM PST
ShironaNep,A B C F,A B C ,A B C F,A B C F,A B C F,A B C D E,A B C D E,,C,=,12 PM PST
WeenieWhistle,E,E,E,E,,,,,D,=,3 PM PST
ByrneBaby,C D E F,C D E F,C D E F,C D E F,C D E F,,,,E,=,6 PM PST
Fátima,ABCF,ABCF,ABCF,ABCF,ABCF,ABCF,ABCF,,F,=,9 PM PST
Thiago,"D, E, F","D, E, F","D, E, F","D, E, F","D, E, F","D, E, F","D, E, F",,,,
momobeta,B C D,A B C D,A B,A B,A B C D,A B C D,A B C D,,,=,Notes contain detailed hours or conditions.
M-Den,C D,C D,C D,C D,C D,C D,C D,,COLOR CODES:,,
BlueStar,,,,,,,,,,=,Mostly Available
Kuriboh,,,,,,,B - C,,,=,Somewhat Available
Ghiaccio_98,CDEF,BCDEF,BCDEF,BCDEF,CDEF,CDEF,CDEF,,,=,Unavailable
Alrysc,"B, C, D, E, F","B, C, D, E, F","B, C, D, E, F","B, C, D, E, F","B, C, D, E, F","B, C, D, E, F","B, C, D, E, F",,,,
Quiz King Symes,BCDEF,BCDEF,BCDEF,BCDEF,BCDEF,BCDEF,BCDEF,,TIME ZONE CONVERTER,,
Salad,,D E F,D E F,D E F,D E F,D E F,D E F,,link,,
Dorman SP,DEF,DEF,DEF,DEF,DEF,BCDEF,BCDEF,,,,
StupidStudiosN, A B, B E F,B E,A D E F,B C F,A B C D E F, B D E,,,,
EasyA,,,,,,,F,,,,
